DATE,TIME,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Press_Avg,Lat,Long,Alt
2018-03-01,0:00,19.19,42.86,1.845,2.95,141.1,807.633,20.703,100.44,1945
2018-03-01,1:00,18.68,47.81,1.212,2.28,166.8,807.684,20.703,100.44,1945
2018-03-01,2:00,18.39,49.93,1.983,6.01,204.2,807.582,20.703,100.44,1945
2018-03-01,3:00,17.95,52.66,2.356,6.12,216,807.597,20.703,100.44,1945
2018-03-01,4:00,16.64,55.54,1.752,3.42,188.4,807.665,20.703,100.44,1945
2018-03-01,5:00,15.85,56.68,1.707,3.05,219.3,807.645,20.703,100.44,1945
2018-03-01,6:00,15.17,57.96,1.7,3.45,199.5,807.948,20.703,100.44,1945
2018-03-01,7:00,14.2,60.52,2.188,3.85,168.7,808.615,20.703,100.44,1945
2018-03-01,8:00,13.92,61.44,2.14,3.44,145.3,809.254,20.703,100.44,1945
2018-03-01,9:00,15.2,57.43,2.221,3.58,148.3,809.824,20.703,100.44,1945
2018-03-01,10:00,17.52,49.85,1.87,3.37,169.5,810.335,20.703,100.44,1945
2018-03-01,11:00,20.53,38.98,1.68,3.82,185,810.435,20.703,100.44,1945
2018-03-01,12:00,23.05,33.18,2.12,6.04,231.7,810.072,20.703,100.44,1945
2018-03-01,13:00,25.25,28.13,2.35,6.14,200.4,809.024,20.703,100.44,1945
2018-03-01,14:00,26.49,24.44,2.128,5.48,158,807.965,20.703,100.44,1945
2018-03-01,15:00,27.42,21.61,2.43,6.04,176,807.076,20.703,100.44,1945
2018-03-01,16:00,28.26,19.84,2.767,5.81,240.2,806.54,20.703,100.44,1945
2018-03-01,17:00,28.55,18.6,2.705,4.98,271.2,806.136,20.703,100.44,1945
2018-03-01,18:00,28.23,17.77,2.66,5.08,298.1,806.041,20.703,100.44,1945
2018-03-01,19:00,26.23,25.35,4.208,10.78,25.1,806.314,20.703,100.44,1945
2018-03-01,20:00,22.44,40.29,7.356,13.71,74,807.24,20.703,100.44,1945
2018-03-01,21:00,20.41,51.25,5.417,12.19,89.4,808.586,20.703,100.44,1945
2018-03-01,22:00,18.95,61.82,2.45,9.24,138.5,810.011,20.703,100.44,1945
2018-03-01,23:00,17.45,67.3,1.923,7.15,9.4,810.731,20.703,100.44,1945
2018-03-02,0:00,16.64,68.08,2.36,12.52,308.2,810.92,20.703,100.44,1945
2018-03-02,1:00,16.15,69.94,4.65,11.65,62.3,810.798,20.703,100.44,1945
2018-03-02,2:00,15.6,72.7,4.153,7.94,55.1,810.555,20.703,100.44,1945
2018-03-02,3:00,15.26,72.77,3.672,7.3,43,810.08,20.703,100.44,1945
2018-03-02,4:00,15.17,71.84,4.468,9.45,41,809.639,20.703,100.44,1945
2018-03-02,5:00,14.84,73.6,3.79,7.59,53.2,809.437,20.703,100.44,1945
2018-03-02,6:00,13.97,77.96,2.827,6.18,73.2,809.529,20.703,100.44,1945
2018-03-02,7:00,13.6,77.63,3.25,10.02,71.4,809.804,20.703,100.44,1945
2018-03-02,8:00,13.43,77.32,5.224,10.64,60.7,810.36,20.703,100.44,1945
2018-03-02,9:00,14.3,72.23,5.337,9.6,65.3,811.017,20.703,100.44,1945
2018-03-02,10:00,15.97,64.38,4.904,9.8,69.5,811.536,20.703,100.44,1945
2018-03-02,11:00,17.86,57.26,4.57,9.24,69.2,811.759,20.703,100.44,1945
2018-03-02,12:00,19.1,52.81,3.892,7.09,60,811.486,20.703,100.44,1945
2018-03-02,13:00,20.57,48.04,2.321,5.98,56.8,810.617,20.703,100.44,1945
2018-03-02,14:00,22.52,41.38,2.578,6.86,107.5,809.616,20.703,100.44,1945
2018-03-02,15:00,24.22,36.12,2.371,7.48,91,808.554,20.703,100.44,1945
2018-03-02,16:00,25.57,31.61,2.332,5.08,95.8,807.827,20.703,100.44,1945
2018-03-02,17:00,25.46,30.58,3.493,7.21,80.2,807.431,20.703,100.44,1945
2018-03-02,18:00,24.06,32.59,5.239,9.57,73.7,807.603,20.703,100.44,1945
2018-03-02,19:00,21.41,37.19,5.681,10.54,75,808.356,20.703,100.44,1945
2018-03-02,20:00,19.11,42.38,5.381,9.51,68,809.19,20.703,100.44,1945
