DATE,TIME,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Press_Avg,Lat,Long,Alt
2018-03-01,0:00,18.12,100.1,6.546,9.7,320.6,1012.618,23.18,106.42,20
2018-03-01,1:00,17.98,100.1,6.699,9.06,325.3,1012.526,23.18,106.42,20
2018-03-01,2:00,17.71,100.1,7.148,9.66,320.9,1012.563,23.18,106.42,20
2018-03-01,3:00,17.62,100.1,7.744,10.15,326.2,1012.303,23.18,106.42,20
2018-03-01,4:00,17.25,100.1,7.429,10.02,333.9,1011.846,23.18,106.42,20
2018-03-01,5:00,16.85,100.1,5.123,6.571,333.1,1011.252,23.18,106.42,20
2018-03-01,6:00,16.72,100.1,4.806,6.486,332.9,1011.16,23.18,106.42,20
2018-03-01,7:00,16.4,100.1,2.517,5.293,330.7,1011.688,23.18,106.42,20
2018-03-01,8:00,16.45,100.1,5.043,6.933,332.7,1012.374,23.18,106.42,20
2018-03-01,9:00,16.33,100.1,2.999,5.186,346.5,1012.624,23.18,106.42,20
2018-03-01,10:00,16.47,100.1,3.444,5.735,332,1013.099,23.18,106.42,20
2018-03-01,11:00,17.1,100.1,3.522,5.032,318.4,1013.405,23.18,106.42,20
2018-03-01,12:00,17.5,100.1,3.961,6.012,310.5,1013.293,23.18,106.42,20
2018-03-01,13:00,17.74,100.1,5.262,7.098,314.1,1012.941,23.18,106.42,20
2018-03-01,14:00,18.38,100.1,4.07,6.289,308.4,1011.981,23.18,106.42,20
2018-03-01,15:00,18.83,100.1,4.84,8.12,298.2,1011.389,23.18,106.42,20
2018-03-01,16:00,18.76,100.1,6.622,8.38,312.3,1011.111,23.18,106.42,20
2018-03-01,17:00,18.92,100.1,6.874,9.12,317.2,1010.774,23.18,106.42,20
2018-03-01,18:00,19.01,100.1,7.124,9.44,318.8,1010.614,23.18,106.42,20
2018-03-01,19:00,18.92,100.1,7.941,9.82,318.9,1010.771,23.18,106.42,20
