DATE,TIME,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Press_Avg,Lat,Long,Alt
2018-03-01,0:00,25.06,62.43,4.741,8.86,143.6,1012.874,20.98,89.64,25
2018-03-01,1:00,24.26,68.66,4.514,8.74,138.7,1012.666,20.98,89.64,25
2018-03-01,2:00,23.41,73.37,3.955,7.23,133.3,1012.35,20.98,89.64,25
2018-03-01,3:00,22.36,77.94,4.106,8.14,134.2,1011.767,20.98,89.64,25
2018-03-01,4:00,21.47,82.71,3.857,7.01,151.7,1011.445,20.98,89.64,25
2018-03-01,5:00,20.7,86.3,4.206,8.33,154.6,1011.083,20.98,89.64,25
2018-03-01,6:00,20.32,87.48,4.177,8.99,153.9,1011.21,20.98,89.64,25
2018-03-01,7:00,20.26,87.44,2.897,6.1,147.2,1012.054,20.98,89.64,25
2018-03-01,8:00,22.11,78.01,3.282,7.44,137,1012.999,20.98,89.64,25
2018-03-01,9:00,24.36,67.8,4.506,8.48,144.3,1013.204,20.98,89.64,25
2018-03-01,10:00,27.05,57.22,5.482,10.29,151.2,1013.415,20.98,89.64,25
2018-03-01,11:00,29.16,49.27,4.888,9.44,148.7,1013.197,20.98,89.64,25
2018-03-01,12:00,30.69,44.31,4.025,8.29,159.5,1012.391,20.98,89.64,25
2018-03-01,13:00,32.15,38.77,3.358,7.09,176.5,1011.179,20.98,89.64,25
2018-03-01,14:00,33.49,34.69,3.072,7.04,148.9,1010.545,20.98,89.64,25
2018-03-01,15:00,34.57,31.75,2.285,6.58,170.4,1010.289,20.98,89.64,25
2018-03-01,16:00,34.98,30.61,3.172,6,112.3,1010.24,20.98,89.64,25
2018-03-01,17:00,31.08,47.67,6.246,11.03,47.6,1010.778,20.98,89.64,25
2018-03-01,18:00,28.6,56.03,5.88,10.79,35.5,1011.711,20.98,89.64,25
2018-03-01,19:00,27.04,60.44,4.712,7.66,43.7,1012.338,20.98,89.64,25
2018-03-01,20:00,25.98,66.34,4.425,7.45,45.8,1013.149,20.98,89.64,25
2018-03-01,21:00,25.32,71.47,3.326,5.86,39.6,1013.881,20.98,89.64,25
2018-03-01,22:00,24.92,74.77,2.852,5.13,41,1014.486,20.98,89.64,25
2018-03-01,23:00,24.91,76.21,2.175,4.25,65.7,1014.796,20.98,89.64,25
2018-03-02,0:00,25,72.59,2.005,3.63,116.1,1015.097,20.98,89.64,25
2018-03-02,1:00,24.71,71.29,2.301,4.38,138.4,1014.921,20.98,89.64,25
2018-03-02,2:00,24.28,72.59,1.933,3.84,138,1014.513,20.98,89.64,25
2018-03-02,3:00,23.81,75.82,2.81,5.28,127.4,1013.963,20.98,89.64,25
2018-03-02,4:00,23.11,81.24,3.615,6.12,124.2,1013.491,20.98,89.64,25
2018-03-02,5:00,22.6,84.81,1.853,4.71,101.4,1014.198,20.98,89.64,25
2018-03-02,6:00,22.06,87.68,1.99,3.44,107.2,1014.926,20.98,89.64,25
2018-03-02,7:00,21.68,89.32,2.25,3.55,107.2,1015.689,20.98,89.64,25
2018-03-02,8:00,22.88,85.05,2.128,4,113.6,1016.528,20.98,89.64,25
2018-03-02,9:00,25.45,77.42,2.777,5.49,132.8,1017.258,20.98,89.64,25
2018-03-02,10:00,26.89,70.45,3.744,6.98,158.5,1017.41,20.98,89.64,25
2018-03-02,11:00,28.53,61.26,3.254,6.35,141,1017.258,20.98,89.64,25
2018-03-02,12:00,30.21,53.69,3.101,7.33,131.3,1016.434,20.98,89.64,25
2018-03-02,13:00,31.56,47.47,2.421,6.26,124,1015.205,20.98,89.64,25
2018-03-02,14:00,33.11,40.47,2.114,5.21,81.5,1014.257,20.98,89.64,25
2018-03-02,15:00,31.74,53.43,4.494,8.4,15,1013.678,20.98,89.64,25
2018-03-02,16:00,31.03,53.87,5.223,10.09,29.6,1013.552,20.98,89.64,25
2018-03-02,17:00,29.45,58.13,6.377,9.76,37.7,1013.797,20.98,89.64,25
2018-03-02,18:00,27.65,63.78,5.973,10.07,39,1014.349,20.98,89.64,25
2018-03-02,19:00,26.26,69.64,4.745,8.36,46.5,1015.073,20.98,89.64,25
2018-03-02,20:00,25.64,73.15,4.212,7.73,56.1,1015.712,20.98,89.64,25
2018-03-02,21:00,25.15,76.83,3.684,6.65,45.8,1016.454,20.98,89.64,25
2018-03-02,22:00,24.82,79.43,2.654,4.92,31.2,1017.088,20.98,89.64,25
2018-03-02,23:00,24.83,78.74,3.181,6.06,43.8,1017.094,20.98,89.64,25
2018-03-03,0:00,24.96,74.7,3.922,7.21,63.1,1016.974,20.98,89.64,25
2018-03-03,1:00,24.61,75.65,4.618,7.73,81.1,1016.738,20.98,89.64,25
2018-03-03,2:00,24.27,76.68,4.123,7.28,89.9,1016.32,20.98,89.64,25
2018-03-03,3:00,24.21,76.81,3.512,6.38,92.3,1016.114,20.98,89.64,25
2018-03-03,4:00,23.92,79.01,2.999,5.08,90.2,1015.956,20.98,89.64,25
2018-03-03,5:00,23.38,81.68,3.167,5.5,103.4,1015.83,20.98,89.64,25
2018-03-03,6:00,23.16,82.54,2.813,5.55,68.2,1016.269,20.98,89.64,25
2018-03-03,7:00,23.12,82.67,3.278,5.47,92.7,1016.897,20.98,89.64,25
2018-03-03,8:00,24.2,78.14,3.392,6.16,96.9,1017.362,20.98,89.64,25
2018-03-03,9:00,25.8,70.49,4.455,7.87,107,1017.625,20.98,89.64,25
2018-03-03,10:00,28.23,55.03,4.309,7.4,102.1,1017.787,20.98,89.64,25
2018-03-03,11:00,29.73,48.99,3.295,6.77,100.5,1017.486,20.98,89.64,25
2018-03-03,12:00,31.01,46.16,2.944,6,79.9,1016.749,20.98,89.64,25
2018-03-03,13:00,31.68,43.94,2.65,6.2,74.8,1015.662,20.98,89.64,25
2018-03-03,14:00,32.04,46.84,4.217,7.55,39.1,1014.75,20.98,89.64,25
2018-03-03,15:00,31.52,47.07,5.252,9.9,29.8,1014.206,20.98,89.64,25
2018-03-03,16:00,31.07,43.84,5.989,9.59,30.3,1013.996,20.98,89.64,25
2018-03-03,17:00,29.53,47.94,6.547,11.23,38,1014.049,20.98,89.64,25
2018-03-03,18:00,27.85,54.42,6.188,10.2,45.1,1014.375,20.98,89.64,25
2018-03-03,19:00,26.12,61.51,5.209,8.8,48,1014.819,20.98,89.64,25
2018-03-03,20:00,25.02,68.24,4.582,8.32,52.7,1015.375,20.98,89.64,25
2018-03-03,21:00,24.28,74.95,4.518,8.02,56.3,1015.919,20.98,89.64,25
2018-03-03,22:00,23.8,79.41,3.925,7.9,61.4,1016.507,20.98,89.64,25
2018-03-03,23:00,23.6,81.43,3.341,6.18,90.2,1016.948,20.98,89.64,25
2018-03-04,0:00,23.34,82.69,3.738,6.42,88.8,1016.766,20.98,89.64,25
2018-03-04,1:00,23.27,82.81,3.514,6.79,84.6,1016.56,20.98,89.64,25
2018-03-04,2:00,23.09,83.89,3.857,6.67,90.9,1016.105,20.98,89.64,25
2018-03-04,3:00,22.84,84.32,4.011,7.02,88.9,1015.569,20.98,89.64,25
2018-03-04,4:00,22.62,83.64,3.643,6.52,91.2,1014.987,20.98,89.64,25
2018-03-04,5:00,22.28,83.61,3.355,6.41,97.7,1015.105,20.98,89.64,25
2018-03-04,6:00,21.88,84.75,2.75,5.18,98.8,1015.509,20.98,89.64,25
2018-03-04,7:00,21.81,84.67,2.489,4.55,93.8,1016.122,20.98,89.64,25
2018-03-04,8:00,23.17,76.49,3.662,6.4,100.6,1016.593,20.98,89.64,25
2018-03-04,9:00,24.8,67.99,4.066,6.82,96.9,1017.076,20.98,89.64,25
2018-03-04,10:00,26.67,59.68,3.616,7.08,82,1017.183,20.98,89.64,25
2018-03-04,11:00,28,53.44,3.774,7.05,77.9,1016.954,20.98,89.64,25
2018-03-04,12:00,29.15,47.03,3.486,7.14,70.4,1016.118,20.98,89.64,25
2018-03-04,13:00,30.13,43.32,3.221,7.23,73.1,1014.815,20.98,89.64,25
2018-03-04,14:00,30.87,41.15,2.898,7.46,69.5,1013.747,20.98,89.64,25
2018-03-04,15:00,30.84,40.94,4.462,7.81,41.4,1012.752,20.98,89.64,25
2018-03-04,16:00,30.57,40.4,4.993,8.67,38.4,1012.266,20.98,89.64,25
2018-03-04,17:00,29.14,43.03,5.855,9.91,39.2,1012.307,20.98,89.64,25
2018-03-04,18:00,27.07,46.56,5.624,9.55,46.7,1012.709,20.98,89.64,25
2018-03-04,19:00,24.91,54.55,5.617,9.39,48.5,1013.389,20.98,89.64,25
2018-03-04,20:00,23.83,61.43,5.243,9.42,55.7,1014.041,20.98,89.64,25
2018-03-04,21:00,23.42,63.33,4.974,8.62,63.4,1014.599,20.98,89.64,25
2018-03-04,22:00,22.92,64.78,4.692,9.4,82.4,1015.217,20.98,89.64,25
2018-03-04,23:00,22.37,66.14,4.232,7.43,87.7,1015.394,20.98,89.64,25
2018-03-05,0:00,21.93,67.27,3.635,7.25,85.8,1015.145,20.98,89.64,25
2018-03-05,1:00,21.3,69.25,3.819,7.93,91.1,1014.784,20.98,89.64,25
2018-03-05,2:00,20.92,69.92,3.565,6.19,90.9,1014.273,20.98,89.64,25
2018-03-05,3:00,20.55,70.92,2.991,4.81,100.9,1013.346,20.98,89.64,25
2018-03-05,4:00,20.35,70.93,3.067,5.63,110.3,1012.825,20.98,89.64,25
2018-03-05,5:00,20.02,71.91,3.19,5.97,107.1,1012.947,20.98,89.64,25
2018-03-05,6:00,19.4,74.34,3.375,5.73,104.2,1013.386,20.98,89.64,25
2018-03-05,7:00,19.45,73.96,3.081,6.23,105.1,1013.814,20.98,89.64,25
2018-03-05,8:00,20.78,69.84,4.14,6.89,107.9,1014.196,20.98,89.64,25
2018-03-05,9:00,23.04,62.74,4.214,7.37,116.5,1014.543,20.98,89.64,25
