DATE,TIME,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Press_Avg,Lat,Long,Alt
2018-03-01,0:00,19.8,43.47,0.858,2,52.5,780.145,19.43,99.13,2229
2018-03-01,1:00,19.09,45.51,0.886,1.925,321.7,780.175,19.43,99.13,2229
2018-03-01,2:00,18.4,49.56,0.685,2.15,260.8,779.922,19.43,99.13,2229
2018-03-01,3:00,17.74,51.55,0.7,1.925,218.9,779.599,19.43,99.13,2229
2018-03-01,4:00,17.08,52.78,0.401,1.7,198,779.444,19.43,99.13,2229
2018-03-01,5:00,16.6,56.79,0.506,1.7,269,779.469,19.43,99.13,2229
2018-03-01,6:00,15.92,53.2,0.2,0.2,125,779.739,19.43,99.13,2229
2018-03-01,7:00,15.63,55.83,0.22,1.1,215.6,780.286,19.43,99.13,2229
2018-03-01,8:00,15.48,56.42,0.534,1.925,45.7,781.003,19.43,99.13,2229
2018-03-01,9:00,16.63,51.95,0.593,2,3.8,781.643,19.43,99.13,2229
2018-03-01,10:00,18.18,50.05,1.096,3.2,277,781.883,19.43,99.13,2229
2018-03-01,11:00,20.1,45.08,1.745,5.225,286.3,781.731,19.43,99.13,2229
2018-03-01,12:00,21.67,40.43,2.058,5.75,292.8,781.29,19.43,99.13,2229
2018-03-01,13:00,23.33,32.3,1.657,5.375,302.1,780.569,19.43,99.13,2229
2018-03-01,14:00,24.63,28.05,2.081,6.125,354.4,779.874,19.43,99.13,2229
2018-03-01,15:00,25.77,27.28,2.147,5.6,304.7,778.912,19.43,99.13,2229
2018-03-01,16:00,25.92,27.59,2.706,6.35,285.6,778.441,19.43,99.13,2229
2018-03-01,17:00,26.27,25.88,2.279,6.875,325.8,778.126,19.43,99.13,2229
2018-03-01,18:00,24.97,29.61,3.537,7.4,5.1,778.504,19.43,99.13,2229
2018-03-01,19:00,22.28,43.98,4.302,9.65,15.2,779.471,19.43,99.13,2229
2018-03-01,20:00,20.74,45.83,3.878,8.9,1,780.52,19.43,99.13,2229
2018-03-01,21:00,19.56,50.45,2.072,5.6,321.8,781.665,19.43,99.13,2229
2018-03-01,22:00,18.52,56.62,2.597,5.225,279.9,782.331,19.43,99.13,2229
2018-03-01,23:00,17.14,61.25,3.709,6.275,288.1,782.798,19.43,99.13,2229
2018-03-02,0:00,16.41,61.6,2.574,5.225,273,783.025,19.43,99.13,2229
2018-03-02,1:00,15.86,63.92,3.287,6.5,288.1,783.044,19.43,99.13,2229
2018-03-02,2:00,15.15,67.35,2.925,5.525,283,782.559,19.43,99.13,2229
2018-03-02,3:00,14.72,69.95,2.616,4.775,292.9,782.057,19.43,99.13,2229
2018-03-02,4:00,14.09,73.99,2.784,5.075,287.4,781.864,19.43,99.13,2229
2018-03-02,5:00,13.66,76.27,1.97,4.775,271.7,781.65,19.43,99.13,2229
2018-03-02,6:00,13.48,77.16,1.502,3.8,261.3,781.823,19.43,99.13,2229
2018-03-02,7:00,13.46,76.99,1.721,3.875,289.6,782.134,19.43,99.13,2229
2018-03-02,8:00,13.91,73.41,0.862,2.225,274.2,782.562,19.43,99.13,2229
2018-03-02,9:00,14.41,68.93,0.894,2.3,245.5,782.962,19.43,99.13,2229
2018-03-02,10:00,15.5,64.2,1.186,2.975,330.7,783.292,19.43,99.13,2229
2018-03-02,11:00,16.98,58.5,1.231,2.825,269,783.301,19.43,99.13,2229
2018-03-02,12:00,18.99,50.7,1.138,3.5,18.3,782.776,19.43,99.13,2229
2018-03-02,13:00,20.67,41.12,1.804,5.15,38.2,781.979,19.43,99.13,2229
2018-03-02,14:00,22.46,33.36,1.735,4.325,47.9,781.045,19.43,99.13,2229
2018-03-02,15:00,23.69,27.2,1.561,4.325,29,780.117,19.43,99.13,2229
2018-03-02,16:00,24.75,24.72,1.724,4.1,36.7,779.368,19.43,99.13,2229
2018-03-02,17:00,25.18,23.99,1.361,4.925,47.2,779.018,19.43,99.13,2229
2018-03-02,18:00,24.83,21.68,2.219,5.525,112.1,779.232,19.43,99.13,2229
2018-03-02,19:00,22.52,31.79,2.777,6.2,22.4,780.35,19.43,99.13,2229
2018-03-02,20:00,20.65,38.2,2.607,5.975,313.7,781.232,19.43,99.13,2229
2018-03-02,21:00,18.64,43.58,3.67,7.25,294.3,781.904,19.43,99.13,2229
2018-03-02,22:00,17.11,48.02,3.8,7.175,284.8,782.506,19.43,99.13,2229
2018-03-02,23:00,15.94,53.45,3.078,6.05,286.9,782.761,19.43,99.13,2229
2018-03-03,0:00,15.02,57.82,2.58,5.375,289.8,782.932,19.43,99.13,2229
2018-03-03,1:00,14.31,61.4,2.307,4.625,284.1,782.941,19.43,99.13,2229
2018-03-03,2:00,13.23,65.76,2.291,4.4,279.3,782.827,19.43,99.13,2229
2018-03-03,3:00,12.8,67.63,0.925,2.3,251.3,782.773,19.43,99.13,2229
2018-03-03,4:00,12.21,70.19,1.157,2.375,113.5,782.646,19.43,99.13,2229
2018-03-03,5:00,11.98,71.61,1.434,2.9,120.3,782.435,19.43,99.13,2229
2018-03-03,6:00,11.39,73.92,1.414,2.975,76.1,782.429,19.43,99.13,2229
2018-03-03,7:00,10.68,77.64,1.424,2.9,68,782.714,19.43,99.13,2229
2018-03-03,8:00,11.07,75.57,0.607,2.75,71.2,783.18,19.43,99.13,2229
2018-03-03,9:00,12.46,69.19,0.227,1.7,76.4,783.746,19.43,99.13,2229
2018-03-03,10:00,14.61,60.71,0.397,2.6,60.4,783.923,19.43,99.13,2229
2018-03-03,11:00,17.55,49.95,0.512,2.375,57.1,783.701,19.43,99.13,2229
2018-03-03,12:00,20.29,36.98,0.645,3.8,236.6,783.069,19.43,99.13,2229
2018-03-03,13:00,22.41,25.55,2.127,5.525,38.8,782.116,19.43,99.13,2229
2018-03-03,14:00,23.87,14.91,2.394,6.35,53.3,781.001,19.43,99.13,2229
2018-03-03,15:00,24.53,16.5,1.584,4.925,32.2,780.04,19.43,99.13,2229
2018-03-03,16:00,25.53,15.21,1.202,4.4,34.4,779.199,19.43,99.13,2229
2018-03-03,17:00,25.86,15.21,1.549,5.45,310.6,778.715,19.43,99.13,2229
2018-03-03,18:00,25.15,17.12,1.996,4.85,313.2,778.765,19.43,99.13,2229
2018-03-03,19:00,23.85,13.99,2.955,6.425,345.7,779.333,19.43,99.13,2229
2018-03-03,20:00,21.97,12.05,3.431,6.95,2.5,780.186,19.43,99.13,2229
2018-03-03,21:00,20.65,14.06,1.989,4.925,355.4,780.943,19.43,99.13,2229
2018-03-03,22:00,19.55,16.46,1.726,4.1,298.1,781.502,19.43,99.13,2229
2018-03-03,23:00,18.12,19.84,1.929,4.625,280.8,781.711,19.43,99.13,2229
2018-03-04,0:00,17.36,21.06,1.631,3.875,262.2,781.908,19.43,99.13,2229
2018-03-04,1:00,16.77,25.66,1.415,3.275,267.9,781.883,19.43,99.13,2229
2018-03-04,2:00,16.07,29.43,0.701,2,251.4,781.536,19.43,99.13,2229
2018-03-04,3:00,15.62,30.25,0.457,1.85,280.7,781.156,19.43,99.13,2229
2018-03-04,4:00,14.53,31.1,0.66,1.85,291.4,780.938,19.43,99.13,2229
2018-03-04,5:00,13.51,32.66,0.453,1.475,274.7,780.848,19.43,99.13,2229
2018-03-04,6:00,13.83,33.38,1.152,2.45,130.8,781.058,19.43,99.13,2229
2018-03-04,7:00,12.41,38.76,1.291,2.6,50.2,781.509,19.43,99.13,2229
2018-03-04,8:00,12.83,40.86,0.33,1.625,29.6,781.92,19.43,99.13,2229
2018-03-04,9:00,14.89,36.59,0.456,1.475,257.5,782.251,19.43,99.13,2229
2018-03-04,10:00,16.34,32.66,0.699,2,5.2,782.426,19.43,99.13,2229
2018-03-04,11:00,18.76,26.56,0.962,2.375,86.6,782.152,19.43,99.13,2229
2018-03-04,12:00,20.59,23.31,1.233,3.2,1.6,781.459,19.43,99.13,2229
2018-03-04,13:00,22.5,17.87,1.305,3.8,66.6,780.513,19.43,99.13,2229
2018-03-04,14:00,24.27,11.66,2.374,6.2,48.7,779.553,19.43,99.13,2229
2018-03-04,15:00,25.2,10.95,1.758,4.55,15.9,778.683,19.43,99.13,2229
2018-03-04,16:00,25.68,11.32,1.39,4.175,88.8,777.862,19.43,99.13,2229
2018-03-04,17:00,26.05,10.73,1.871,5.15,33.8,777.367,19.43,99.13,2229
2018-03-04,18:00,25.52,14.63,1.552,3.65,83.5,777.169,19.43,99.13,2229
