Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],Dec[deg.],Dec,Inc[deg.],Alpha95[deg.],K,SiteLat[deg.],SiteLon[deg.],LongN,ArcheoVolcanic,MatID,DatMethID,SpecTypeID,RefID,UploadYear,C14ID,UID
-37050,160,160,342.7,-17.3,21.5,2.9,2330.56,19.22,260.73,-99.27,Volcanic,4,102,1,143,2007,724,3495
-37000,7000,7000,349.7,-10.3,40.4,2.8,-999,30.49,243.9,-116.1,Volcanic,4,107;118,3,418,2009,-1,8184
-37000,7000,7000,349.7,-10.3,40.4,2.8,-999,30.49,243.9,-116.1,Volcanic,4,107;118,1,418,2009,-1,8183
-27050,3300,3300,21.6,21.6,33.7,3.2,239.26,19.82,258.08,-101.92,Volcanic,4,0,1,377,2009,-1,6896
-19910,380,380,353.3,-6.7,64.4,3.4,1695.5,19.22,260.53,-99.47,Volcanic,4,102,1,110,2007,638,2763
-18050,20000,20000,337.5,-22.5,16.5,2.1,341.88,19,257.8,-102.2,Volcanic,4,110,1,377,2009,-1,6898
-18050,20000,20000,6.8,6.8,40.6,2.5,285.09,19.66,257.97,-102.03,Volcanic,4,110,1,377,2009,-1,6897
-17580,160,160,342.6,-17.4,16.6,4.2,1111.11,19.17,260.58,-99.42,Volcanic,4,102,1,110,2007,639,2764
-15220,430,430,339.7,-20.3,58.2,4.6,926.28,19.71,258.58,-101.42,Volcanic,4,102,1,110,2007,641,2766
-15220,430,430,345.5,-14.5,4.6,2.2,506.2,19.7,258.6,-101.4,Volcanic,4,0,1,377,2009,-1,6894
-8220,70,70,354.6,-5.4,40.8,5.1,753.56,19.1,260.82,-99.18,Volcanic,4,102,1,110,2007,642,2767
-6550,70,70,338.5,-21.5,50.3,3.7,715.85,19.01,260.5,-99.5,Volcanic,4,102,1,157,2007,744,3541
-6490,70,70,337.4,-22.6,55.9,3.1,2039.54,19.12,260.51,-99.49,Volcanic,4,102,1,110,2007,644,2769
-6480,330,330,336.6,-23.4,30.3,4.2,111.11,19.53,258.31,-101.69,Volcanic,4,0,1,377,2009,-1,6893
-2750,200,200,16.1,16.1,24.6,1.9,678.67,19.57,257.98,-102.02,Volcanic,4,0,1,377,2009,-1,6892
-2120,150,150,10.4,10.4,17,3.9,1288.63,19.18,260.83,-99.17,Volcanic,4,102,1,143,2007,725,3496
-1880,150,150,349.5,-10.5,26.1,2.2,674.93,19.42,257.87,-102.13,Volcanic,4,0,1,377,2009,-1,6891
-980,55,55,7.8,7.8,27.8,3.8,169.67,19.65,263.04,-96.96,Volcanic,4,102,0,362,2009,851,6573
-285,100,100,352.6,-7.4,38.6,3.9,161.08,19.05,261.55,-98.45,Volcanic,4,102,0,362,2009,852,6574
-125,0,0,356.3,-3.7,17.9,1.5,1088.89,16.4,267.3,-92.7,Archeo,2,101,0,193,2009,-1,3850
-80,60,60,352,-8,36,2.5,3136,19.93,260.82,-99.18,Volcanic,4,102,1,143,2007,726,3497
-35,55,55,350.1,-9.9,35.4,2,4900,19.32,260.82,-99.18,Volcanic,4,102,1,110,2007,649,2774
-25,225,225,357.3,-2.7,36,2.9,388.43,16.9,263.7,-96.3,Archeo,24,101,0,193,2009,-1,3852
-25,225,225,359.4,-0.6,35.1,1.7,1130.33,17,263.3,-96.7,Archeo,24,101,0,193,2009,-1,3853
330,50,50,346.7,-13.3,35.9,1.7,6782.01,19.08,260.87,-99.13,Volcanic,4,101,3,137,2007,-1,3463
330,50,50,346.7,-13.3,35.9,1.7,6782.01,19.08,260.87,-99.13,Archeo,5,101,3,136,2007,-1,3462
330,50,50,346.7,-13.3,35.9,1.7,6782.01,19.08,260.87,-99.13,Volcanic,4,101,3,136,2007,-1,3461
425,75,75,359.8,-0.2,38.5,2.6,414.2,19,261.8,-98.2,Archeo,18,101,0,193,2009,-1,3867
425,75,75,2.8,2.8,39,0.8,3828.12,19,261.8,-98.2,Archeo,18,101,0,193,2009,-1,3866
512,87,87,7,7,50,3,235,19.7,261.2,-98.8,Archeo,18,101,0,193,2009,-1,3873
550,150,150,354.9,-5.1,34.2,3,264,17,263.3,-96.7,Archeo,1,101,0,193,2009,-1,3883
550,25,25,356.8,-3.2,38.5,3.6,189.04,19.04,261.8,-98.2,Archeo,18,106,0,363,2009,-1,6577
550,150,150,354.6,-5.4,30.4,2.6,207.1,17,263.3,-96.7,Archeo,24,101,0,193,2009,-1,3882
575,150,150,1,1,40,1,2450,19.7,261.2,-98.8,Archeo,0,101,0,193,2009,-1,3886
575,150,150,3.9,3.9,40.2,3.3,199.98,19.7,261.2,-98.8,Archeo,2,101,0,193,2009,-1,3891
575,150,150,2.2,2.2,40.6,0.9,3024.69,19.7,261.2,-98.8,Archeo,0,101,0,193,2009,-1,3885
575,150,150,2.1,2.1,41.1,3.1,254.94,19.7,261.2,-98.8,Archeo,2,101,0,193,2009,-1,3890
575,150,150,3,3,39.1,0.6,6805.56,19.7,261.2,-98.8,Archeo,0,101,0,193,2009,-1,3884
575,150,150,2.4,2.4,42.7,3,264,19.7,261.2,-98.8,Archeo,2,101,0,193,2009,-1,3889
575,150,150,5.4,5.4,43.3,3.6,252.06,19.7,261.2,-98.8,Archeo,0,101,0,193,2009,-1,3888
575,150,150,2.4,2.4,40.8,1.6,957.03,19.7,261.2,-98.8,Archeo,0,101,0,193,2009,-1,3887
700,200,200,0.7,0.7,30.4,1.9,678.67,19,261.7,-98.3,Archeo,2,101,0,193,2009,-1,3901
750,50,50,1,1,15.2,1.2,1944.44,16.9,263.7,-96.3,Archeo,18,101,0,193,2009,-1,3910
850,100,100,1.7,1.7,25.9,2.5,348.44,20.1,261.6,-98.4,Archeo,24,101,0,193,2009,-1,3912
850,100,100,358.8,-1.2,24.2,1.9,678.67,20.1,261.6,-98.4,Archeo,18,101,0,193,2009,-1,3911
900,100,100,356.3,-3.7,10.9,1.9,678.67,16.4,267.3,-92.7,Archeo,1,101,0,193,2009,-1,3913
950,250,250,355.4,-4.6,15.3,2.1,555.56,17.1,263.2,-96.8,Archeo,10,101,0,193,2009,-1,3915
950,250,250,354.8,-5.2,16.9,1.9,678.67,17.1,263.2,-96.8,Archeo,10,101,0,193,2009,-1,3914
1050,150,150,348,-12,32.6,3.4,211.94,16.9,263.7,-96.3,Archeo,10,101,0,193,2009,-1,3918
1050,150,150,348.9,-11.1,27.7,2.9,332.94,16.9,263.7,-96.3,Archeo,10,101,0,193,2009,-1,3917
1050,150,150,348.3,-11.7,29.8,2.7,384.09,16.9,263.7,-96.3,Archeo,10,101,0,193,2009,-1,3916
1075,125,125,344.1,-15.9,34.6,2.4,378.09,20,260.7,-99.3,Archeo,10,101,0,193,2009,-1,3920
1075,125,125,346.4,-13.6,40.8,1.9,678.67,20,260.7,-99.3,Archeo,18,101,0,193,2009,-1,3919
1120,60,60,345,-15,34.4,1.8,232.67,19.4,263.1,-96.9,Volcanic,4,102,0,362,2009,853,6575
1175,25,25,346.4,-13.6,35.7,2.5,448,20,260.7,-99.3,Archeo,2,101,0,193,2009,-1,3924
1175,25,25,345.5,-14.5,30.4,1.5,1088.89,20,260.7,-99.3,Archeo,2,101,0,193,2009,-1,3923
1175,25,25,345,-15,34.4,1.2,1701.39,20,260.7,-99.3,Archeo,2,101,0,193,2009,-1,3922
1175,25,25,347.3,-12.7,36.1,1.1,2024.79,20,260.7,-99.3,Archeo,2,101,0,193,2009,-1,3921
1175,25,25,322.4,-37.6,50.5,3.9,161.08,20,260.7,-99.3,Archeo,2,101,0,193,2009,-1,3926
1175,25,25,342.2,-17.8,42.4,3.4,188.39,20,260.7,-99.3,Archeo,2,101,0,193,2009,-1,3925
1550,8,8,360,0,36.6,3.2,273.44,21.14,255.5,-104.5,Volcanic,4,105,0,362,2009,-1,6576
1766,7,7,8.9,8.9,55.6,3.8,193.91,19,258.25,-101.75,Volcanic,4,0,1,377,2009,-1,6890
1948,5,5,10.7,10.7,37.8,4.4,1012.4,19.5,257.8,-102.2,Volcanic,4,102,1,110,2007,651,2776
1948,5,5,10.7,10.7,37.8,4.4,1012.4,19.5,257.8,-102.2,Volcanic,4,102,1,110,2007,650,2775
